xi;vi;v2i;vi-v2i;E;hi;c1;c2
0.01;1.00959;1.00959;2.01932e-10;2.15394e-10;0.01;0;0
0.02;1.01832;1.01832;1.41404e-10;1.50831e-10;0.01;0;0
0.03;1.02616;1.02616;7.08815e-11;7.5607e-11;0.01;0;0
0.04;1.03309;1.03309;-3.90643e-12;4.16686e-12;0.01;0;1
0.05;1.03909;1.03909;-7.65299e-11;8.16319e-11;0.01;1;1
0.06;1.0442;1.0442;-1.40892e-10;1.50285e-10;0.01;1;1
0.07;1.04844;1.04844;-1.92244e-10;2.0506e-10;0.01;1;1
0.08;1.05187;1.05187;-2.27956e-10;2.43153e-10;0.01;1;1
0.09;1.05457;1.05457;-2.47898e-10;2.64425e-10;0.01;1;1
0.1;1.05661;1.05661;-2.54362e-10;2.71319e-10;0.01;1;1
0.11;1.05809;1.05809;-2.51567e-10;2.68338e-10;0.01;1;1
0.12;1.05912;1.05912;-2.44887e-10;2.61212e-10;0.01;1;1
0.13;1.05982;1.05982;-2.39966e-10;2.55964e-10;0.01;1;1
0.14;1.06029;1.06029;-2.419e-10;2.58026e-10;0.01;1;1
0.15;1.06066;1.06066;-2.54594e-10;2.71567e-10;0.01;1;1
0.16;1.06104;1.06104;-2.80385e-10;2.99077e-10;0.01;1;1
0.17;1.06155;1.06155;-3.19916e-10;3.41244e-10;0.01;1;1
0.18;1.06231;1.06231;-3.72229e-10;3.97044e-10;0.01;1;1
0.19;1.06342;1.06342;-4.3501e-10;4.64011e-10;0.01;1;1
0.2;1.065;1.065;-5.04908e-10;5.38568e-10;0.01;1;1
0.21;1.06715;1.06715;-5.77856e-10;6.1638e-10;0.01;1;1
0.22;1.06997;1.06997;-6.49364e-10;6.92655e-10;0.01;1;1
0.23;1.07358;1.07358;-7.14723e-10;7.62371e-10;0.01;1;1
0.24;1.07806;1.07806;-7.69142e-10;8.20418e-10;0.01;1;1
0.25;1.08352;1.08352;-8.07788e-10;8.61641e-10;0.01;1;1
0.26;1.09006;1.09006;-8.25757e-10;8.80808e-10;0.01;1;1
0.27;1.09779;1.09779;-8.17988e-10;8.7252e-10;0.01;1;1
0.28;1.10681;1.10681;-7.79129e-10;8.31071e-10;0.01;1;1
0.29;1.11724;1.11724;-7.03387e-10;7.50279e-10;0.01;1;1
0.3;1.12921;1.12921;-5.84363e-10;6.23321e-10;0.01;1;1
0.31;1.14283;1.14283;-4.14919e-10;4.4258e-10;0.01;1;1
0.32;1.15826;1.15826;-1.8708e-10;1.99552e-10;0.01;1;1
0.33;1.17565;1.17565;1.07961e-10;1.15158e-10;0.01;1;1
0.34;1.19519;1.19519;4.79681e-10;5.1166e-10;0.01;1;1
0.35;1.21706;1.21706;9.37804e-10;1.00032e-09;0.01;1;1
0.36;1.24149;1.24149;1.49142e-09;1.59085e-09;0.01;1;1
0.365;1.25475;1.25475;6.53229e-11;6.96777e-11;0.005;2;1
0.37;1.26874;1.26874;7.70797e-11;8.22183e-11;0.005;2;1
0.375;1.28351;1.28351;8.9768e-11;9.57525e-11;0.005;2;1
0.38;1.29909;1.29909;1.03379e-10;1.10271e-10;0.005;2;1
0.385;1.31553;1.31553;1.17877e-10;1.25736e-10;0.005;2;1
0.39;1.33288;1.33288;1.33196e-10;1.42076e-10;0.005;2;1
0.395;1.35118;1.35118;1.49222e-10;1.5917e-10;0.005;2;1
0.4;1.37048;1.37048;1.65778e-10;1.7683e-10;0.005;2;1
0.405;1.39086;1.39086;1.82613e-10;1.94787e-10;0.005;2;1
0.41;1.41236;1.41236;1.99369e-10;2.1266e-10;0.005;2;1
0.415;1.43506;1.43506;2.1555e-10;2.2992e-10;0.005;2;1
0.42;1.45903;1.45903;2.30488e-10;2.45854e-10;0.005;2;1
0.425;1.48435;1.48435;2.43283e-10;2.59502e-10;0.005;2;1
0.43;1.51111;1.51111;2.52738e-10;2.69587e-10;0.005;2;1
0.435;1.53939;1.53939;2.57272e-10;2.74423e-10;0.005;2;1
0.44;1.56931;1.56931;2.54801e-10;2.71787e-10;0.005;2;1
0.445;1.60098;1.60098;2.42596e-10;2.58769e-10;0.005;2;1
0.45;1.63452;1.63452;2.17087e-10;2.3156e-10;0.005;2;1
0.455;1.67006;1.67006;1.73614e-10;1.85189e-10;0.005;2;1
0.46;1.70775;1.70775;1.06099e-10;1.13172e-10;0.005;2;1
0.465;1.74776;1.74776;6.61848e-12;7.05972e-12;0.005;2;2
0.47;1.79025;1.79025;-1.35151e-10;1.44161e-10;0.005;3;2
0.475;1.83544;1.83544;-3.32665e-10;3.54843e-10;0.005;3;2
0.48;1.88353;1.88353;-6.03474e-10;6.43706e-10;0.005;3;2
0.485;1.93476;1.93476;-9.70475e-10;1.03517e-09;0.005;3;2
0.49;1.98941;1.98941;-1.46356e-09;1.56114e-09;0.005;3;2
0.4925;2.0181;2.0181;-5.67928e-11;6.0579e-11;0.0025;4;2
0.495;2.04775;2.04775;-6.82987e-11;7.28519e-11;0.0025;4;2
0.4975;2.07841;2.07841;-8.15761e-11;8.70145e-11;0.0025;4;2
0.5;2.11012;2.11012;-9.68803e-11;1.03339e-10;0.0025;4;2
0.5025;2.14293;2.14293;-1.14506e-10;1.22139e-10;0.0025;4;2
0.505;2.17689;2.17689;-1.3479e-10;1.43775e-10;0.0025;4;2
0.5075;2.21204;2.21204;-1.58116e-10;1.68657e-10;0.0025;4;2
0.51;2.24844;2.24844;-1.84926e-10;1.97254e-10;0.0025;4;2
0.5125;2.28615;2.28615;-2.15722e-10;2.30103e-10;0.0025;4;2
0.515;2.32522;2.32522;-2.5108e-10;2.67818e-10;0.0025;4;2
0.5175;2.36573;2.36573;-2.91654e-10;3.11098e-10;0.0025;4;2
0.52;2.40774;2.40774;-3.38196e-10;3.60742e-10;0.0025;4;2
0.5225;2.45132;2.45132;-3.91557e-10;4.17661e-10;0.0025;4;2
0.525;2.49654;2.49654;-4.5271e-10;4.82891e-10;0.0025;4;2
0.5275;2.54348;2.54348;-5.22755e-10;5.57606e-10;0.0025;4;2
0.53;2.59222;2.59222;-6.02943e-10;6.43139e-10;0.0025;4;2
0.5325;2.64286;2.64286;-6.94683e-10;7.40995e-10;0.0025;4;2
0.535;2.69547;2.69547;-7.99564e-10;8.52868e-10;0.0025;4;2
0.5375;2.75016;2.75016;-9.19367e-10;9.80658e-10;0.0025;4;2
0.54;2.80702;2.80702;-1.05608e-09;1.12648e-09;0.0025;4;2
0.5425;2.86616;2.86616;-1.21189e-09;1.29269e-09;0.0025;4;2
0.545;2.92768;2.92768;-1.38924e-09;1.48185e-09;0.0025;4;2
0.54625;2.95937;2.95937;-4.77245e-11;5.09061e-11;0.00125;5;2
0.5475;2.9917;2.9917;-5.10658e-11;5.44702e-11;0.00125;5;2
0.54875;3.02468;3.02468;-5.46239e-11;5.82655e-11;0.00125;5;2
0.55;3.05833;3.05833;-5.84093e-11;6.23032e-11;0.00125;5;2
0.55125;3.09266;3.09266;-6.24345e-11;6.65968e-11;0.00125;5;2
0.5525;3.12769;3.12769;-6.6712e-11;7.11594e-11;0.00125;5;2
0.55375;3.16343;3.16343;-7.12532e-11;7.60034e-11;0.00125;5;2
0.555;3.19991;3.19991;-7.60698e-11;8.11411e-11;0.00125;5;2
0.55625;3.23712;3.23712;-8.11746e-11;8.65863e-11;0.00125;5;2
0.5575;3.27509;3.27509;-8.65787e-11;9.23507e-11;0.00125;5;2
0.55875;3.31384;3.31384;-9.22924e-11;9.84452e-11;0.00125;5;2
0.56;3.35338;3.35338;-9.83258e-11;1.04881e-10;0.00125;5;2
