xi;vi1;vi2
0.001;0.0009995;0.999001
0.002;0.001998;0.998004
0.003;0.00299551;0.997009
0.004;0.00399202;0.996016
0.005;0.00498754;0.995025
0.006;0.00598207;0.994036
0.007;0.00697561;0.993049
0.008;0.00796817;0.992064
0.009;0.00895974;0.991081
0.01;0.00995033;0.9901
0.011;0.0109399;0.98912
0.012;0.0119286;0.988143
0.013;0.0129162;0.987168
0.014;0.0139029;0.986195
0.015;0.0148886;0.985223
0.016;0.0158734;0.984254
0.017;0.0168571;0.983287
0.018;0.0178399;0.982321
0.019;0.0188218;0.981358
0.02;0.0198026;0.980396
0.021;0.0207826;0.979436
0.022;0.0217615;0.978479
0.023;0.0227395;0.977523
0.024;0.0237166;0.976569
0.025;0.0246927;0.975617
0.026;0.0256678;0.974667
0.027;0.026642;0.973719
0.028;0.0276152;0.972773
0.029;0.0285875;0.971829
0.03;0.0295589;0.970887
0.031;0.0305293;0.969946
0.032;0.0314988;0.969008
0.033;0.0324673;0.968071
0.034;0.0334349;0.967137
0.035;0.0344016;0.966204
0.036;0.0353673;0.965273
0.037;0.0363322;0.964344
0.038;0.037296;0.963417
0.039;0.038259;0.962492
0.04;0.039221;0.961568
0.041;0.0401821;0.960647
0.042;0.0411423;0.959727
0.043;0.0421016;0.95881
0.044;0.0430599;0.957894
0.045;0.0440174;0.95698
0.046;0.0449739;0.956068
0.047;0.0459295;0.955158
0.048;0.0468842;0.95425
0.049;0.047838;0.953343
0.05;0.0487909;0.952439
0.051;0.0497429;0.951536
0.052;0.050694;0.950635
0.053;0.0516442;0.949736
0.054;0.0525934;0.948839
0.055;0.0535418;0.947943
0.056;0.0544893;0.94705
0.057;0.0554359;0.946158
0.058;0.0563816;0.945268
0.059;0.0573265;0.94438
0.06;0.0582704;0.943494
0.061;0.0592135;0.94261
0.062;0.0601556;0.941727
0.063;0.0610969;0.940847
0.064;0.0620373;0.939968
0.065;0.0629768;0.939091
0.066;0.0639155;0.938215
0.067;0.0648533;0.937342
0.068;0.0657902;0.93647
0.069;0.0667262;0.935601
0.07;0.0676614;0.934732
0.071;0.0685957;0.933866
0.072;0.0695291;0.933002
0.073;0.0704617;0.932139
0.074;0.0713934;0.931278
0.075;0.0723242;0.930419
0.076;0.0732542;0.929562
0.077;0.0741834;0.928707
0.078;0.0751117;0.927853
0.079;0.0760391;0.927001
0.08;0.0769657;0.926151
0.081;0.0778914;0.925302
0.082;0.0788163;0.924456
0.083;0.0797403;0.923611
0.084;0.0806635;0.922768
0.085;0.0815858;0.921927
0.086;0.0825073;0.921087
0.087;0.083428;0.920249
0.088;0.0843478;0.919413
0.089;0.0852668;0.918579
0.09;0.086185;0.917746
0.091;0.0871023;0.916916
0.092;0.0880188;0.916087
0.093;0.0889345;0.915259
0.094;0.0898493;0.914434
0.095;0.0907634;0.91361
0.096;0.0916766;0.912788
0.097;0.0925889;0.911967
0.098;0.0935005;0.911149
0.099;0.0944112;0.910332
0.1;0.0953212;0.909517
0.101;0.0962303;0.908703
