xi;vi;v2i;vi-v2i;E;hi;c1;c2
1e-07;0.5;0.5;0;0;1e-07;0;1
3e-07;0.5;0.5;0;0;2e-07;0;2
7e-07;0.5;0.5;0;0;4e-07;0;3
1.5e-06;0.500001;0.500001;0;0;8e-07;0;4
3.1e-06;0.500002;0.500002;0;0;1.6e-06;0;5
6.3e-06;0.500003;0.500003;-1.11022e-16;1.18424e-16;3.2e-06;0;6
1.27e-05;0.500006;0.500006;0;0;6.4e-06;0;7
2.55e-05;0.500013;0.500013;1.11022e-16;1.18424e-16;1.28e-05;0;8
5.11e-05;0.500026;0.500026;1.11022e-16;1.18424e-16;2.56e-05;0;9
0.0001023;0.500051;0.500051;0;0;5.12e-05;0;10
0.0002047;0.500102;0.500102;0;0;0.0001024;0;11
0.0004095;0.500205;0.500205;1.11022e-16;1.18424e-16;0.0002048;0;12
0.0008191;0.500409;0.500409;0;0;0.0004096;0;13
0.0016383;0.500818;0.500818;1.11022e-16;1.18424e-16;0.0008192;0;14
0.0032767;0.501636;0.501636;3.33067e-15;3.55271e-15;0.0016384;0;15
0.0065535;0.503266;0.503266;1.05582e-13;1.12621e-13;0.0032768;0;16
0.0131071;0.506508;0.506508;3.23863e-12;3.45454e-12;0.0065536;0;17
0.0262143;0.512917;0.512917;9.34668e-11;9.96979e-11;0.0131072;0;18
0.0524287;0.525398;0.525398;2.17366e-09;2.31858e-09;0.0262144;0;19
0.104857;0.549031;0.549031;-5.10558e-09;5.44596e-09;0.0524288;0;20
0.209715;0.595534;0.595541;-7.4286e-06;7.92384e-06;0.104858;0;21
0.41943;0.770186;0.770612;-0.000426153;0.000454564;0.209715;0;21
0.524288;0.952995;0.953001;-5.2757e-06;5.62741e-06;0.104858;1;22
0.734003;1.27498;1.27485;0.000128404;0.000136964;0.209715;1;22
