xi;vi1;vi2
0.1;1.09932;0.987378
0.2;1.19766;0.980218
0.3;1.2955;0.977132
0.4;1.39318;0.976859
0.5;1.49092;0.978246
0.6;1.58885;0.980235
0.7;1.68696;0.981858
0.8;1.78518;0.982237
0.9;1.88334;0.980587
1;1.9812;0.97622
1.1;2.07847;0.968561
1.2;2.17479;0.957151
1.3;2.26977;0.941656
1.4;2.36298;0.921876
1.5;2.454;0.897739
1.6;2.54238;0.869305
1.7;2.62772;0.836755
1.8;2.70961;0.800378
1.9;2.78768;0.760555
2;2.86162;0.717743
2.1;2.93115;0.67245
2.2;2.99604;0.625217
2.3;3.05614;0.576599
2.4;3.11134;0.527147
2.5;3.16156;0.477393
2.6;3.20682;0.427835
2.7;3.24715;0.378935
2.8;3.28264;0.331105
2.9;3.31342;0.28471
3;3.33964;0.240062
3.1;3.3615;0.197425
3.2;3.3792;0.157013
3.3;3.39298;0.118996
3.4;3.40309;0.0834997
3.5;3.40977;0.0506146
3.6;3.4133;0.0203947
3.7;3.41394;-0.00713624
3.8;3.41196;-0.0319819
3.9;3.40763;-0.0541701
4;3.40121;-0.0737497
4.1;3.39297;-0.0907883
4.2;3.38314;-0.105369
4.3;3.37197;-0.11759
4.4;3.35969;-0.127558
4.5;3.34653;-0.135394
4.6;3.33268;-0.141224
4.7;3.31835;-0.145181
4.8;3.3037;-0.147402
4.9;3.28892;-0.148028
5;3.27415;-0.147203
5.1;3.25952;-0.145069
5.2;3.24517;-0.141768
5.3;3.2312;-0.13744
5.4;3.21771;-0.132223
5.5;3.20478;-0.126249
5.6;3.19249;-0.119645
5.7;3.18087;-0.112534
5.8;3.16999;-0.10503
5.9;3.15988;-0.0972415
6;3.15055;-0.0892701
6.1;3.14203;-0.0812086
6.2;3.13431;-0.073142
6.3;3.12739;-0.0651476
6.4;3.12127;-0.0572946
6.5;3.11593;-0.0496443
6.6;3.11134;-0.0422501
6.7;3.10747;-0.035158
6.8;3.10429;-0.0284067
6.9;3.10177;-0.022028
7;3.09987;-0.0160469
7.1;3.09855;-0.0104827
7.2;3.09776;-0.0053483
7.3;3.09747;-0.000651741
7.4;3.09762;0.00360408
7.5;3.09817;0.00742066
7.6;3.09909;0.0108036
7.7;3.10032;0.0137619
7.8;3.10183;0.016308
7.9;3.10357;0.0184568
8;3.10551;0.0202258
8.1;3.1076;0.0216343
8.2;3.10982;0.0227031
8.3;3.11213;0.0234545
8.4;3.1145;0.0239114
8.5;3.1169;0.0240976
8.6;3.11931;0.024037
8.7;3.1217;0.0237537
8.8;3.12406;0.0232715
8.9;3.12635;0.022614
9;3.12858;0.0218041
9.1;3.13071;0.0208639
9.2;3.13274;0.0198148
9.3;3.13467;0.0186772
9.4;3.13648;0.0174702
9.5;3.13816;0.016212
9.6;3.13972;0.0149194
9.7;3.14115;0.0136079
9.8;3.14244;0.0122918
9.9;3.1436;0.0109841
10;3.14464;0.00969642
